[header]
width=80
height=65
tilewidth=32
tileheight=32
orientation=orthogonal
background_color=0,0,0,255
music=music/Grasslands_Theme.mp3
tileset=tilesetdefs/spring-outdoor.txt

[tilesets]
tileset=../images/tilesheets/collision.png,32,32,0,0
tileset=../images/tilesheets/LPC-spring-outdoor.png,32,32,0,0

[layer]
type=background
data=
536,-1610611744,674,991,404,1684,671,670,1746,671,670,1746,1748,1233,1233,1233,1233,1745,1746,1746,1746,992,1060,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,992,992,1302,1306,1304,992,536,536,536,536,536,536,536,536,601,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,
536,-1610611744,1610613793,404,1684,1748,735,734,1810,735,734,1810,1296,1189,1190,1190,1191,1169,1810,113,1810,992,992,536,536,536,536,536,536,536,536,536,536,536,536,601,536,536,536,536,536,536,536,992,992,1302,1306,1304,1610613793,536,536,536,535,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,601,536,536,536,536,536,536,536,536,535,
536,994,404,1684,1748,1296,1127,1127,1127,1127,1127,1127,1189,729,418,418,728,1190,1191,177,1240,992,992,536,536,536,601,996,992,992,536,536,536,536,536,536,536,536,536,536,536,536,536,-1610611679,674,1302,1306,1304,992,992,536,536,536,536,536,536,536,536,536,536,601,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,
535,991,404,1748,992,1296,1189,1190,1190,1190,1191,1189,729,418,418,524,482,418,1255,1298,1304,674,992,1060,992,536,992,992,992,1060,536,535,536,536,536,536,536,536,535,536,535,992,992,992,991,1302,1306,1304,992,992,536,536,536,536,536,536,536,536,535,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,601,536,
536,-1610611744,404,992,992,1296,1317,665,546,664,1319,1253,418,648,34,98,34,418,1255,1298,1304,992,992,992,992,992,991,992,674,992,992,992,-1610611679,992,992,992,1060,992,992,992,992,992,992,992,992,1302,1306,1304,992,992,536,536,536,536,601,536,536,992,992,992,992,992,536,536,536,536,536,536,536,536,535,536,536,536,536,536,535,535,536,536,
536,1060,404,994,992,1360,1106,1253,546,728,1190,729,34,34,34,34,34,664,1319,1298,1304,992,992,992,992,994,992,992,994,992,992,992,992,992,992,992,992,992,992,994,992,992,992,992,992,1302,1306,1304,992,992,992,992,992,994,992,991,992,992,992,992,992,992,992,994,992,992,992,992,992,992,992,992,992,992,536,1610613793,992,992,536,536,
601,-1610611744,404,1060,992,1232,1170,1253,664,665,546,546,34,34,98,34,34,1255,1105,1362,1175,1240,-1610611679,992,991,992,992,992,992,992,674,992,1060,992,992,992,994,992,992,992,992,992,992,-1610611679,992,1302,1306,1304,992,674,992,1060,992,992,992,992,992,992,992,674,1610613793,992,992,992,992,991,992,1060,992,992,992,992,992,992,992,992,674,992,536,536,
536,-1610611744,404,992,1232,1170,1189,729,1255,1253,418,664,1318,665,34,98,664,1319,1298,1306,1306,1175,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1176,1306,1175,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1239,1240,1060,536,536,
-1610611744,1060,-1610611744,992,1296,1189,729,664,1319,1317,1318,1319,1104,1253,546,482,1255,1168,1297,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1306,1304,992,535,536,
674,-1610611744,991,1610613793,1296,1253,664,1319,1105,1361,1361,1361,1106,1253,709,418,728,1191,1297,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,1306,1304,992,536,536,
-1610611744,-1610611744,994,992,1296,1253,1255,1298,1362,992,992,992,1296,1317,665,418,482,1255,1297,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,1306,1304,992,536,536,
-1610611744,991,1610613793,992,1296,1253,1255,1298,992,992,992,992,1360,1296,1253,418,664,1319,1297,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,1306,1304,992,536,536,
994,-1610611744,404,994,1296,1253,1255,1298,992,1302,1303,1304,992,1296,1317,1318,1319,1297,1297,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,1306,1304,991,536,536,
-1610611744,674,404,1060,1296,1253,1255,1169,1306,1306,1306,1175,1233,1170,1297,1297,1297,1306,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,534,1306,1304,992,994,601,
